flow_name,flow_label,retire_index,total_retire,step,cycle,pc,inst,opcode,regwr,rd,rd_data,memwr,mem_addr,mem_data,illegal,stall,redirect,fwdA,fwdB
pipeline_spike,Pipeline TB,226,490,230,298,0x80000028,0x0b80006f,JAL,1,0,0x8000002c,0,0x00000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,227,490,231,301,0x800000e0,0x00400713,ALUI,1,14,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,228,490,232,302,0x800000e4,0xfec42783,LOAD,1,15,0x00000001,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,229,490,233,304,0x800000e8,0x40f707b3,ALUR,1,15,0x00000003,0,0x00000003,0x00000001,0,0,0,0,0
pipeline_spike,Pipeline TB,230,490,234,305,0x800000ec,0xfe842703,LOAD,1,14,0x00000000,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,231,490,235,307,0x800000f0,0xf2f74ee3,BRANCH,0,29,0x00000003,0,0x00000003,0x00000003,0,0,0,0,0
pipeline_spike,Pipeline TB,232,490,236,310,0x8000002c,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,233,490,237,311,0x80000030,0x13478713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,234,490,238,312,0x80000034,0xfe842783,LOAD,1,15,0x00000000,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,235,490,239,314,0x80000038,0x00279793,ALUI,1,15,0x00000000,0,0x00000000,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,236,490,240,315,0x8000003c,0x00f707b3,ALUR,1,15,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,237,490,241,316,0x80000040,0x0007a703,LOAD,1,14,0x00000003,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,238,490,242,317,0x80000044,0xfe842783,LOAD,1,15,0x00000000,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,239,490,243,319,0x80000048,0x00178793,ALUI,1,15,0x00000001,0,0x00000001,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,240,490,244,320,0x8000004c,0x800006b7,LUI,1,13,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,241,490,245,321,0x80000050,0x13468693,ALUI,1,13,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,242,490,246,322,0x80000054,0x00279793,ALUI,1,15,0x00000004,0,0x00000004,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,243,490,247,323,0x80000058,0x00f687b3,ALUR,1,15,0x80000138,0,0x80000138,0x00000004,0,0,0,0,0
pipeline_spike,Pipeline TB,244,490,248,324,0x8000005c,0x0007a783,LOAD,1,15,0x00000007,0,0x80000138,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,245,490,249,326,0x80000060,0x06e7da63,BRANCH,0,20,0x0000000a,0,0x0000000a,0x00000003,0,0,0,0,0
pipeline_spike,Pipeline TB,246,490,250,329,0x800000d4,0xfe842783,LOAD,1,15,0x00000000,0,0x8000ffe8,0x80010000,0,0,0,0,0
