baud_sel,baud_rate,jitter_permille,jitter_percent,nominal_bit_ns,jitter_ns,short_bit_ns,long_bit_ns,short_baud_rate,long_baud_rate,short_baud_error_percent,long_baud_error_percent,passed,xsim_returncode,sim_wall_time_s,failure_reason
2,19200,80,8.0,52083.333333333336,4166.666666666667,47916.66666666667,56250.0,20869.565217391304,17777.777777777777,8.695652173913038,-7.4074074074074066,1,0,2.4282401960226707,
2,19200,90,9.0,52083.333333333336,4687.5,47395.833333333336,56770.833333333336,21098.901098901097,17614.67889908257,9.890109890109876,-8.25688073394495,1,0,2.5612802040413953,
2,19200,100,10.0,52083.333333333336,5208.333333333334,46875.0,57291.66666666667,21333.333333333332,17454.545454545452,11.111111111111093,-9.090909090909104,1,0,2.508395090000704,
2,19200,110,11.0,52083.333333333336,5729.166666666667,46354.16666666667,57812.5,21573.033707865165,17297.297297297297,12.35955056179774,-9.909909909909908,1,0,2.559265601041261,
2,19200,120,12.0,52083.333333333336,6250.0,45833.333333333336,58333.333333333336,21818.181818181816,17142.85714285714,13.636363636363624,-10.71428571428572,1,0,2.5933732370031066,
2,19200,130,13.0,52083.333333333336,6770.833333333334,45312.5,58854.16666666667,22068.96551724138,16991.150442477876,14.942528735632198,-11.504424778761058,1,0,2.551671060035005,
2,19200,140,14.0,52083.333333333336,7291.666666666667,44791.66666666667,59375.0,22325.581395348836,16842.105263157893,16.279069767441847,-12.28070175438597,1,0,2.481623533007223,
2,19200,150,15.0,52083.333333333336,7812.5,44270.833333333336,59895.833333333336,22588.235294117647,16695.652173913044,17.647058823529417,-13.043478260869568,1,0,2.4487643950269558,
2,19200,160,16.0,52083.333333333336,8333.333333333334,43750.0,60416.66666666667,22857.14285714286,16551.724137931033,19.047619047619047,-13.793103448275868,1,0,2.401010623027105,
2,19200,170,17.0,52083.333333333336,8854.166666666668,43229.16666666667,60937.5,23132.530120481926,16410.25641025641,20.48192771084336,-14.529914529914533,1,0,2.4548770950059406,
2,19200,180,18.0,52083.333333333336,9375.0,42708.333333333336,61458.333333333336,23414.63414634146,16271.186440677966,21.95121951219512,-15.254237288135597,1,0,2.46038652601419,
2,19200,190,19.0,52083.333333333336,9895.833333333334,42187.5,61979.16666666667,23703.703703703704,16134.453781512604,23.456790123456784,-15.96638655462186,1,0,2.5282459299778566,
2,19200,200,20.0,52083.333333333336,10416.666666666668,41666.66666666667,62500.0,23999.999999999996,16000.0,24.99999999999998,-16.666666666666664,1,0,2.4825279459473677,
2,19200,210,21.0,52083.333333333336,10937.5,41145.833333333336,63020.833333333336,24303.79746835443,15867.768595041322,26.582278481012665,-17.355371900826455,1,0,2.5581893299822696,
2,19200,220,22.0,52083.333333333336,11458.333333333334,40625.0,63541.66666666667,24615.384615384617,15737.704918032785,28.205128205128215,-18.032786885245912,1,0,2.488605166960042,
2,19200,230,23.0,52083.333333333336,11979.166666666668,40104.16666666667,64062.5,24935.064935064933,15609.756097560976,29.87012987012987,-18.699186991869922,1,0,2.5829609020147473,
2,19200,240,24.0,52083.333333333336,12500.0,39583.333333333336,64583.333333333336,25263.15789473684,15483.870967741936,31.57894736842104,-19.354838709677413,1,0,2.52541875699535,
2,19200,250,25.0,52083.333333333336,13020.833333333334,39062.5,65104.16666666667,25600.0,15359.999999999998,33.33333333333333,-20.000000000000007,1,0,2.566613802977372,
2,19200,260,26.0,52083.333333333336,13541.666666666668,38541.66666666667,65625.0,25945.945945945943,15238.095238095239,35.13513513513511,-20.63492063492063,1,0,2.555799247988034,
2,19200,270,27.0,52083.333333333336,14062.5,38020.833333333336,66145.83333333334,26301.369863013697,15118.110236220471,36.98630136986301,-21.259842519685044,1,0,2.539981861016713,
2,19200,280,28.0,52083.333333333336,14583.333333333334,37500.0,66666.66666666667,26666.666666666668,14999.999999999998,38.88888888888891,-21.87500000000001,1,0,2.395066800992936,
2,19200,290,29.0,52083.333333333336,15104.166666666668,36979.16666666667,67187.5,27042.253521126757,14883.720930232557,40.8450704225352,-22.480620155038768,1,0,2.458473606966436,
2,19200,300,30.0,52083.333333333336,15625.0,36458.333333333336,67708.33333333334,27428.571428571428,14769.230769230768,42.85714285714286,-23.076923076923084,1,0,2.3789194829878397,
2,19200,310,31.0,52083.333333333336,16145.833333333334,35937.5,68229.16666666667,27826.08695652174,14656.48854961832,44.927536231884055,-23.664122137404586,1,0,2.5739441890036687,
2,19200,320,32.0,52083.333333333336,16666.666666666668,35416.66666666667,68750.0,28235.294117647056,14545.454545454546,47.058823529411754,-24.242424242424242,1,0,2.475058485986665,
2,19200,330,33.0,52083.333333333336,17187.5,34895.833333333336,69270.83333333334,28656.716417910447,14436.090225563908,49.25373134328359,-24.812030075187973,1,0,2.5232306310208514,
2,19200,340,34.0,52083.333333333336,17708.333333333336,34375.0,69791.66666666667,29090.909090909092,14328.358208955224,51.515151515151516,-25.373134328358205,1,0,2.540937195008155,
2,19200,350,35.0,52083.333333333336,18229.166666666668,33854.16666666667,70312.5,29538.461538461535,14222.222222222223,53.84615384615383,-25.92592592592592,1,0,2.5670337920309976,
2,19200,360,36.0,52083.333333333336,18750.0,33333.333333333336,70833.33333333334,29999.999999999996,14117.647058823528,56.24999999999998,-26.470588235294123,1,0,2.517775304033421,
2,19200,370,37.0,52083.333333333336,19270.833333333336,32812.5,71354.16666666667,30476.190476190477,14014.598540145984,58.73015873015874,-27.007299270073005,1,0,2.544715053983964,
2,19200,380,38.0,52083.333333333336,19791.666666666668,32291.666666666668,71875.0,30967.74193548387,13913.04347826087,61.290322580645174,-27.536231884057973,1,0,2.5871894290321507,
2,19200,390,39.0,52083.333333333336,20312.5,31770.833333333336,72395.83333333334,31475.40983606557,13812.949640287768,63.934426229508176,-28.057553956834536,1,0,2.567891546001192,
2,19200,400,40.0,52083.333333333336,20833.333333333336,31250.0,72916.66666666667,32000.0,13714.285714285714,66.66666666666667,-28.57142857142857,1,0,2.4691867429646663,
2,19200,410,41.0,52083.333333333336,21354.166666666668,30729.166666666668,73437.5,32542.372881355932,13617.021276595744,69.4915254237288,-29.078014184397173,1,0,2.451515730994288,
2,19200,420,42.0,52083.333333333336,21875.0,30208.333333333336,73958.33333333334,33103.448275862065,13521.126760563378,72.41379310344827,-29.5774647887324,1,0,2.3639191510155797,
2,19200,430,43.0,52083.333333333336,22395.833333333336,29687.5,74479.16666666667,33684.21052631579,13426.573426573426,75.43859649122805,-30.069930069930074,1,0,2.4601638820022345,
2,19200,440,44.0,52083.333333333336,22916.666666666668,29166.666666666668,75000.0,34285.71428571428,13333.333333333334,78.57142857142856,-30.555555555555546,0,0,2.4556184699758887,Fatal: [626205000][UART_TB][FATAL] UART APB wrapper directed test failed
2,19200,450,45.0,52083.333333333336,23437.5,28645.833333333336,75520.83333333334,34909.090909090904,13241.379310344826,81.81818181818178,-31.034482758620697,0,0,2.540634407021571,Fatal: [626195000][UART_TB][FATAL] UART APB wrapper directed test failed
